,year,soil,fish,soil_real,fish_real,inflation
0,2000,5940.2,2845.6,5940.2,2845.6,20.2
1,2001,9099.2,3839.3,7673.469387755103,3237.7298026648677,18.58
2,2002,11080.9,5031.3,8121.555563770918,3687.605023779713,15.06
3,2003,13912.4,5444.5,9105.147704973595,3563.2224978960307,11.99
4,2004,16841.7,7084.9,9864.207507088358,4149.6359492788915,11.74
5,2005,19726.9,10233.5,10417.52161866574,5404.179444546069,10.91
6,2006,23145.2,12310.8,11213.469530491257,5964.380549572773,9.0
7,2007,28107.5,14797.0,12172.72051217967,6408.24496731202,11.87
8,2008,33206.1,19498.9,12694.922747898421,7454.56494948207,13.28
9,2009,35363.4,22913.5,12426.170521087568,8051.461630808689,8.8
10,2010,39895.0,23781.9,12887.02617259868,7682.114744557577,8.78
11,2011,45132.0,25939.9,13740.528482500391,7897.454905238233,6.1
12,2012,50400.6,29201.4,14397.226857994123,8341.551100007333,6.58
13,2013,54161.2,32437.3,14534.020003851105,8704.466796727536,6.45
14,2014,58959.0,37062.0,14207.522815974035,8930.93862863396,11.36
15,2015,63695.0,46676.0,13593.809759355914,9961.608671445116,12.91
16,2016,69936.0,54927.0,14163.756138901525,11124.065337472031,5.38
17,2017,74474.1,68032.0,14712.088127195228,13439.474655878294,2.52
18,2018,83178.0,75766.0,15758.618949437408,14354.366819628684,4.27
19,2019,89343.7,88603.8,16425.765502679827,16289.735498376976,3.05
20,2020,95359.0,94983.0,16711.155698011473,16645.263705200596,4.91
21,2021,103473.5,101547.4,16729.56776974638,16418.156437556892,8.39
22,2022,118375.7,121726.2,17100.564219915985,17584.57774987888,11.92
23,2023,130825.6,139520.0,17593.630505053196,18762.86696231488,7.42
